name	src_type	out_type	band	absmax	n_elem	note
blk.26.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.26.ffn_down_shexp.weight	BF16	BF16	A	0.333984	1048576	dry-run band A
blk.26.ffn_gate_shexp.weight	BF16	BF16	A	0.130859	1048576	dry-run band A
blk.26.ffn_up_shexp.weight	BF16	BF16	A	0.28125	1048576	dry-run band A
blk.26.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.26.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.27.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.27.ffn_down_exps.weight	BF16	BF16	A	0.308594	268435456	dry-run band A
blk.27.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.27.ffn_down_shexp.weight	BF16	BF16	A	0.486328	1048576	dry-run band A
blk.27.ffn_gate_shexp.weight	BF16	BF16	A	0.207031	1048576	dry-run band A
blk.27.ffn_up_shexp.weight	BF16	BF16	A	0.143555	1048576	dry-run band A
blk.27.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.27.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.27.attn_k_norm.weight	F32	F32	-	0	256	passthrough
blk.27.attn_q_norm.weight	F32	F32	-	0	256	passthrough
blk.28.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.28.ssm_a	F32	F32	-	0	32	passthrough
blk.28.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.28.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.28.ssm_alpha.weight	BF16	BF16	A	0.208008	65536	dry-run band A
blk.28.ssm_beta.weight	BF16	BF16	A	0.149414	65536	dry-run band A
blk.28.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.28.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.28.ffn_down_shexp.weight	BF16	BF16	A	0.470703	1048576	dry-run band A
blk.28.ffn_gate_shexp.weight	BF16	BF16	A	0.263672	1048576	dry-run band A
blk.28.ffn_up_shexp.weight	BF16	BF16	A	0.145508	1048576	dry-run band A
blk.28.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.28.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.29.attn_qkv.weight	BF16	BF16	A	0.433594	16777216	dry-run band A
blk.29.attn_gate.weight	BF16	BF16	A	0.330078	8388608	dry-run band A
blk.29.ssm_out.weight	BF16	BF16	A	0.839844	8388608	dry-run band A
blk.29.ffn_down_exps.weight	BF16	BF16	A	0.245117	268435456	dry-run band A
blk.30.attn_qkv.weight	BF16	BF16	A	0.341797	16777216	dry-run band A
blk.30.attn_gate.weight	BF16	BF16	A	0.435547	8388608	dry-run band A
blk.30.ssm_out.weight	BF16	BF16	A	0.882812	8388608	dry-run band A
blk.30.ffn_gate_exps.weight	BF16	BF16	A	0.257812	268435456	dry-run band A
blk.30.ffn_up_exps.weight	BF16	BF16	A	0.142578	268435456	dry-run band A
blk.31.ffn_down_exps.weight	BF16	BF16	A	0.357422	268435456	dry-run band A
blk.31.ffn_gate_exps.weight	BF16	BF16	A	0.244141	268435456	dry-run band A
blk.31.ffn_up_exps.weight	BF16	BF16	A	0.15332	268435456	dry-run band A
blk.31.attn_k.weight	BF16	BF16	A	0.22168	1048576	dry-run band A
blk.31.attn_output.weight	BF16	BF16	A	0.832031	8388608	dry-run band A
blk.31.attn_q.weight	BF16	BF16	A	0.384766	16777216	dry-run band A
blk.31.attn_v.weight	BF16	BF16	A	0.267578	1048576	dry-run band A
blk.29.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.29.ssm_a	F32	F32	-	0	32	passthrough
blk.29.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.29.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.29.ssm_alpha.weight	BF16	BF16	A	0.151367	65536	dry-run band A
blk.29.ssm_beta.weight	BF16	BF16	A	0.137695	65536	dry-run band A
blk.29.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.29.ffn_gate_exps.weight	BF16	BF16	A	0.259766	268435456	dry-run band A
blk.29.ffn_up_exps.weight	BF16	BF16	A	0.15625	268435456	dry-run band A
blk.29.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.29.ffn_down_shexp.weight	BF16	BF16	A	0.472656	1048576	dry-run band A
blk.29.ffn_gate_shexp.weight	BF16	BF16	A	0.21582	1048576	dry-run band A
blk.29.ffn_up_shexp.weight	BF16	BF16	A	0.339844	1048576	dry-run band A
blk.29.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.29.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.30.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.30.ssm_a	F32	F32	-	0	32	passthrough
blk.30.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.30.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.30.ssm_alpha.weight	BF16	BF16	A	0.178711	65536	dry-run band A
blk.30.ssm_beta.weight	BF16	BF16	A	0.167969	65536	dry-run band A
blk.30.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.30.ffn_down_exps.weight	BF16	BF16	A	0.271484	268435456	dry-run band A
blk.30.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.30.ffn_down_shexp.weight	BF16	BF16	A	0.357422	1048576	dry-run band A
blk.30.ffn_gate_shexp.weight	BF16	BF16	A	0.228516	1048576	dry-run band A
blk.30.ffn_up_shexp.weight	BF16	BF16	A	0.177734	1048576	dry-run band A
blk.30.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.30.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.31.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.31.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.31.ffn_down_shexp.weight	BF16	BF16	A	0.464844	1048576	dry-run band A
blk.31.ffn_gate_shexp.weight	BF16	BF16	A	0.261719	1048576	dry-run band A
blk.31.ffn_up_shexp.weight	BF16	BF16	A	0.162109	1048576	dry-run band A
blk.31.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.31.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.31.attn_k_norm.weight	F32	F32	-	0	256	passthrough
blk.31.attn_q_norm.weight	F32	F32	-	0	256	passthrough
blk.32.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.32.ssm_a	F32	F32	-	0	32	passthrough
blk.32.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.32.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.32.ssm_alpha.weight	BF16	BF16	A	0.216797	65536	dry-run band A
blk.32.ssm_beta.weight	BF16	BF16	A	0.158203	65536	dry-run band A
blk.32.attn_qkv.weight	BF16	BF16	A	0.589844	16777216	dry-run band A
blk.32.attn_gate.weight	BF16	BF16	A	0.337891	8388608	dry-run band A
blk.32.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.32.ssm_out.weight	BF16	BF16	A	0.863281	8388608	dry-run band A
blk.32.ffn_down_exps.weight	BF16	BF16	A	0.279297	268435456	dry-run band A
blk.32.ffn_gate_exps.weight	BF16	BF16	A	0.277344	268435456	dry-run band A
blk.32.ffn_up_exps.weight	BF16	BF16	A	0.197266	268435456	dry-run band A
blk.32.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.32.ffn_down_shexp.weight	BF16	BF16	A	0.46875	1048576	dry-run band A
blk.32.ffn_gate_shexp.weight	BF16	BF16	A	0.217773	1048576	dry-run band A
blk.32.ffn_up_shexp.weight	BF16	BF16	A	0.248047	1048576	dry-run band A
blk.32.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.32.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.33.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.33.ssm_a	F32	F32	-	0	32	passthrough
blk.33.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.33.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.33.ssm_alpha.weight	BF16	BF16	A	0.178711	65536	dry-run band A
blk.33.ssm_beta.weight	BF16	BF16	A	0.133789	65536	dry-run band A
blk.33.attn_qkv.weight	BF16	BF16	A	0.484375	16777216	dry-run band A
blk.33.attn_gate.weight	BF16	BF16	A	0.357422	8388608	dry-run band A
blk.33.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.33.ssm_out.weight	BF16	BF16	A	0.957031	8388608	dry-run band A
blk.33.ffn_down_exps.weight	BF16	BF16	A	0.382812	268435456	dry-run band A
blk.33.ffn_gate_exps.weight	BF16	BF16	A	0.308594	268435456	dry-run band A
blk.33.ffn_up_exps.weight	BF16	BF16	A	0.189453	268435456	dry-run band A
blk.33.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.33.ffn_down_shexp.weight	BF16	BF16	A	0.378906	1048576	dry-run band A
blk.33.ffn_gate_shexp.weight	BF16	BF16	A	0.203125	1048576	dry-run band A
blk.33.ffn_up_shexp.weight	BF16	BF16	A	0.179688	1048576	dry-run band A
blk.33.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.33.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.34.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.34.ssm_a	F32	F32	-	0	32	passthrough
blk.34.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.34.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.34.ssm_alpha.weight	BF16	BF16	A	0.177734	65536	dry-run band A
blk.34.ssm_beta.weight	BF16	BF16	A	0.15332	65536	dry-run band A
blk.34.attn_qkv.weight	BF16	BF16	A	0.345703	16777216	dry-run band A
blk.34.attn_gate.weight	BF16	BF16	A	0.324219	8388608	dry-run band A
blk.34.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.34.ssm_out.weight	BF16	BF16	A	0.859375	8388608	dry-run band A
blk.34.ffn_down_exps.weight	BF16	BF16	A	0.324219	268435456	dry-run band A
blk.34.ffn_gate_exps.weight	BF16	BF16	A	0.369141	268435456	dry-run band A
blk.34.ffn_up_exps.weight	BF16	BF16	A	0.214844	268435456	dry-run band A
blk.34.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.34.ffn_down_shexp.weight	BF16	BF16	A	0.373047	1048576	dry-run band A
blk.34.ffn_gate_shexp.weight	BF16	BF16	A	0.209961	1048576	dry-run band A
blk.34.ffn_up_shexp.weight	BF16	BF16	A	0.185547	1048576	dry-run band A
blk.34.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.34.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.35.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.35.ffn_down_exps.weight	BF16	BF16	A	0.380859	268435456	dry-run band A
blk.35.ffn_gate_exps.weight	BF16	BF16	A	0.402344	268435456	dry-run band A
blk.35.ffn_up_exps.weight	BF16	BF16	A	0.213867	268435456	dry-run band A
blk.35.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.35.ffn_down_shexp.weight	BF16	BF16	A	0.417969	1048576	dry-run band A
blk.35.ffn_gate_shexp.weight	BF16	BF16	A	0.244141	1048576	dry-run band A
blk.35.ffn_up_shexp.weight	BF16	BF16	A	0.206055	1048576	dry-run band A
blk.35.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.35.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.35.attn_k_norm.weight	F32	F32	-	0	256	passthrough
blk.35.attn_k.weight	BF16	BF16	A	0.298828	1048576	dry-run band A
blk.35.attn_output.weight	BF16	BF16	A	0.617188	8388608	dry-run band A
blk.35.attn_q_norm.weight	F32	F32	-	0	256	passthrough
blk.35.attn_q.weight	BF16	BF16	A	0.433594	16777216	dry-run band A
blk.35.attn_v.weight	BF16	BF16	A	0.373047	1048576	dry-run band A
blk.36.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.36.ssm_a	F32	F32	-	0	32	passthrough
blk.36.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.36.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.36.ssm_alpha.weight	BF16	BF16	A	0.216797	65536	dry-run band A
blk.36.ssm_beta.weight	BF16	BF16	A	0.125977	65536	dry-run band A
blk.36.attn_qkv.weight	BF16	BF16	A	0.451172	16777216	dry-run band A
blk.36.attn_gate.weight	BF16	BF16	A	0.392578	8388608	dry-run band A
blk.36.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.36.ssm_out.weight	BF16	BF16	A	2.14062	8388608	dry-run band A
blk.36.ffn_down_exps.weight	BF16	BF16	A	0.291016	268435456	dry-run band A
blk.36.ffn_gate_exps.weight	BF16	BF16	A	0.425781	268435456	dry-run band A
blk.36.ffn_up_exps.weight	BF16	BF16	A	0.232422	268435456	dry-run band A
blk.36.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.36.ffn_down_shexp.weight	BF16	BF16	A	0.462891	1048576	dry-run band A
blk.36.ffn_gate_shexp.weight	BF16	BF16	A	0.255859	1048576	dry-run band A
blk.36.ffn_up_shexp.weight	BF16	BF16	A	0.296875	1048576	dry-run band A
blk.36.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.36.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.37.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.37.ssm_a	F32	F32	-	0	32	passthrough
blk.37.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.37.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.37.ssm_alpha.weight	BF16	BF16	A	0.177734	65536	dry-run band A
blk.37.ssm_beta.weight	BF16	BF16	A	0.147461	65536	dry-run band A
blk.37.attn_qkv.weight	BF16	BF16	A	0.621094	16777216	dry-run band A
blk.37.attn_gate.weight	BF16	BF16	A	0.396484	8388608	dry-run band A
blk.37.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.37.ssm_out.weight	BF16	BF16	A	0.632812	8388608	dry-run band A
blk.37.ffn_down_exps.weight	BF16	BF16	A	0.273438	268435456	dry-run band A
blk.37.ffn_gate_exps.weight	BF16	BF16	A	0.378906	268435456	dry-run band A
blk.37.ffn_up_exps.weight	BF16	BF16	A	0.263672	268435456	dry-run band A
blk.37.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.37.ffn_down_shexp.weight	BF16	BF16	A	0.392578	1048576	dry-run band A
blk.37.ffn_gate_shexp.weight	BF16	BF16	A	0.261719	1048576	dry-run band A
blk.37.ffn_up_shexp.weight	BF16	BF16	A	0.208984	1048576	dry-run band A
blk.37.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.37.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.38.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.38.ssm_a	F32	F32	-	0	32	passthrough
blk.38.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.38.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.38.ssm_alpha.weight	BF16	BF16	A	0.186523	65536	dry-run band A
blk.38.ssm_beta.weight	BF16	BF16	A	0.149414	65536	dry-run band A
blk.38.attn_qkv.weight	BF16	BF16	A	0.730469	16777216	dry-run band A
blk.38.attn_gate.weight	BF16	BF16	A	0.410156	8388608	dry-run band A
blk.38.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.38.ssm_out.weight	BF16	BF16	A	0.589844	8388608	dry-run band A
blk.38.ffn_down_exps.weight	BF16	BF16	A	0.255859	268435456	dry-run band A
blk.38.ffn_gate_exps.weight	BF16	BF16	A	0.394531	268435456	dry-run band A
blk.38.ffn_up_exps.weight	BF16	BF16	A	0.359375	268435456	dry-run band A
blk.38.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.38.ffn_down_shexp.weight	BF16	BF16	A	0.396484	1048576	dry-run band A
blk.38.ffn_gate_shexp.weight	BF16	BF16	A	0.226562	1048576	dry-run band A
blk.38.ffn_up_shexp.weight	BF16	BF16	A	0.197266	1048576	dry-run band A
blk.38.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.38.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.39.ffn_gate_exps.weight	BF16	BF16	A	0.375	268435456	dry-run band A
blk.39.ffn_up_exps.weight	BF16	BF16	A	0.306641	268435456	dry-run band A
blk.40.ffn_gate_exps.weight	BF16	BF16	A	0.275391	268435456	dry-run band A
blk.40.ffn_up_exps.weight	BF16	BF16	A	0.523438	268435456	dry-run band A
output.weight	BF16	BF16	A	0.300781	508559360	dry-run band A
blk.39.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.39.ffn_down_exps.weight	BF16	BF16	A	0.652344	268435456	dry-run band A
blk.39.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.39.ffn_down_shexp.weight	BF16	BF16	A	0.304688	1048576	dry-run band A
blk.39.ffn_gate_shexp.weight	BF16	BF16	A	0.193359	1048576	dry-run band A
blk.39.ffn_up_shexp.weight	BF16	BF16	A	0.294922	1048576	dry-run band A
blk.39.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.39.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.39.attn_k_norm.weight	F32	F32	-	0	256	passthrough
blk.39.attn_k.weight	BF16	BF16	A	0.229492	1048576	dry-run band A
blk.39.attn_output.weight	BF16	BF16	A	0.542969	8388608	dry-run band A
blk.39.attn_q_norm.weight	F32	F32	-	0	256	passthrough
blk.39.attn_q.weight	BF16	BF16	A	0.421875	16777216	dry-run band A
blk.39.attn_v.weight	BF16	BF16	A	0.386719	1048576	dry-run band A
output_norm.weight	F32	F32	-	0	2048	passthrough
blk.40.nextn.eh_proj.weight	BF16	BF16	A	0.410156	8388608	dry-run band A
blk.40.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.40.ffn_down_exps.weight	BF16	BF16	A	0.777344	268435456	dry-run band A
blk.40.ffn_gate_inp.weight	BF16	BF16	-	0	524288	policy-preserve
blk.40.ffn_down_shexp.weight	BF16	BF16	A	0.337891	1048576	dry-run band A
blk.40.ffn_gate_shexp.weight	BF16	BF16	A	0.142578	1048576	dry-run band A
blk.40.ffn_up_shexp.weight	BF16	BF16	A	0.194336	1048576	dry-run band A
blk.40.ffn_gate_inp_shexp.weight	BF16	BF16	A	0.0088501	2048	dry-run band A
blk.40.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.40.attn_k_norm.weight	F32	F32	-	0	256	passthrough
blk.40.attn_k.weight	BF16	BF16	A	0.232422	1048576	dry-run band A
blk.40.attn_output.weight	BF16	BF16	A	1.84375	8388608	dry-run band A
blk.40.attn_q_norm.weight	F32	F32	-	0	256	passthrough
blk.40.attn_q.weight	BF16	BF16	A	0.386719	16777216	dry-run band A
blk.40.attn_v.weight	BF16	BF16	A	0.25	1048576	dry-run band A
blk.40.nextn.shared_head_norm.weight	F32	F32	-	0	2048	passthrough
blk.40.nextn.enorm.weight	F32	F32	-	0	2048	passthrough
blk.40.nextn.hnorm.weight	F32	F32	-	0	2048	passthrough
